Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,KeyBrowser,MediaType,Encryption,hour,Src IP,Dst IP
57158,443,6,229.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8733.624454,229.0,0.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,4366.81201171875,4366.81201171875,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.0,1047.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,Audio-Streaming,Standard,4,177772555,3627736163
57159,443,6,407.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4914.004914,407.0,0.0,407.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,2457.00244140625,2457.00244140625,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987.0,1047.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,Audio-Streaming,Standard,4,177772555,3627736163
57160,443,6,431.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4640.37123,431.0,0.0,431.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,2320.185546875,2320.185546875,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2049.0,1047.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,Audio-Streaming,Standard,4,177772555,3627736163
49134,443,6,359.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5571.030641,359.0,0.0,359.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,2785.515380859375,2785.515380859375,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1047.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,Audio-Streaming,Standard,4,177772555,1249740920
34697,19305,6,10778451.0,591.0,400.0,64530.0,6659.0,131.0,0.0,109.1875,22.28125,498.0,0.0,16.640625,46.84375,6604.75239,91.94271051,10887.32421875,11412.466796875,78158.0,13.0,10778451.0,18268.560546875,11786.1435546875,81171.0,126.0,10747836.0,26936.931640625,15897.73828125,78158.0,307.0,1.0,0.0,0.0,0.0,11820.0,8000.0,54.831626892089844,37.111083984375,0.0,498.0,71.875,56.9375,3241.76171875,1.0,0.0,0.0,659.0,991.0,0.0,0.0,0.0,0.0,71.9375,109.1875,16.640625,0.0,0.0,0.0,0.0,659.0,6605.0,0.0,65.0,0.0,6.0,1382.0,2320.0,581.0,20.0,0,0,0,0,1437760000000000.0,3117718.2,1437760000000000.0,1437760000000000.0,Non-Tor,Audio-Streaming,Standard,4,177772555,2915189119
54570,443,6,421362.0,5.0,3.0,72.0,79.0,72.0,0.0,14.3984375,32.1875,79.0,0.0,26.328125,45.625,358.3616937,18.98605,60194.5703125,157282.828125,416869.0,13.0,421362.0,105340.5,207813.046875,417054.0,190.0,417945.0,208972.5,294010.0625,416869.0,1076.0,0.0,0.0,0.0,0.0,112.0,72.0,11.866281509399414,7.1197686195373535,0.0,79.0,16.78125,33.34375,1111.4444580078125,1.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,18.875,14.3984375,26.328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,14600.0,913.0,1.0,20.0,0,0,0,0,1437770000000000.0,186611.08,1437770000000000.0,1437770000000000.0,Non-Tor,Audio-Streaming,Standard,4,177772555,2915189119
443,56254,6,119682119.0,488.0,487.0,89259.0,314105.0,1460.0,0.0,182.875,360.0,1460.0,0.0,645.0,647.0,3370.294605,8.146580359,122876.921875,822593.375,13485507.0,2.0,119642787.0,245673.078125,1151351.5,13485507.0,5.0,119028043.0,244913.671875,1155468.75,13522678.0,18.0,0.0,0.0,0.0,0.0,9760.0,9740.0,4.077467918395996,4.069112300872803,0.0,1460.0,413.25,572.0,326986.09375,0.0,0.0,0.0,403.0,975.0,0.0,0.0,0.0,0.0,413.75,182.875,645.0,0.0,0.0,0.0,0.0,44.0,9225.0,0.0,91.0,0.0,322.0,12108.0,9520.0,209.0,20.0,0,0,0,0,1437770000000000.0,31846302.0,1437770000000000.0,1437760000000000.0,Non-Tor,Audio-Streaming,Standard,4,2915180897,177772555
57361,443,6,116996934.0,369.0,378.0,208796.0,34340.0,1460.0,0.0,566.0,599.0,1460.0,0.0,90.875,181.0,2078.139928,6.384782699,156832.34375,733142.125,7800200.0,5.0,116996398.0,317925.0,1022458.75,7800456.0,31.0,116996466.0,310335.46875,1008875.875,7800557.0,7.0,0.0,0.0,0.0,0.0,7380.0,7560.0,3.153928756713867,3.230853796005249,0.0,1460.0,327.0,501.25,251357.40625,0.0,0.0,0.0,307.0,747.0,0.0,0.0,0.0,1.0,327.5,566.0,90.875,0.0,0.0,0.0,0.0,25.0,4949.0,0.0,279.0,0.0,45.0,21142.0,8323.0,268.0,20.0,0,0,0,0,1440000000000000.0,36170280.0,1437770000000000.0,1437760000000000.0,Non-Tor,Audio-Streaming,Standard,4,177772555,3627735182
443,44097,6,100279453.0,61.0,60.0,14526.0,17870.0,996.0,0.0,238.125,324.75,1460.0,0.0,297.75,479.25,323.0572069,1.206628042,835662.125,4003838.75,29069708.0,7.0,100279453.0,1671324.25,5562102.5,29069708.0,12.0,100240150.0,1698985.625,5612873.0,29109291.0,30.0,1.0,0.0,0.0,0.0,1220.0,1200.0,0.6083000898361206,0.5983279347419739,0.0,1460.0,269.5,407.0,165580.5,0.0,0.0,0.0,54.0,121.0,0.0,0.0,0.0,0.0,271.75,238.125,297.75,0.0,0.0,0.0,0.0,11.0,4300.0,0.0,120.0,0.0,147.0,2640.0,3346.0,31.0,20.0,0,0,0,0,1437770000000000.0,33277896.0,1437770000000000.0,1437760000000000.0,Non-Tor,Audio-Streaming,Standard,4,1249713341,177772555
34702,19305,6,119962833.0,3638.0,3157.0,254101.0,488658.0,190.0,0.0,69.875,53.9375,1460.0,0.0,154.75,214.875,6191.576019,56.64254361,17657.173828125,18742.9140625,151388.0,9.0,119962833.0,32984.0078125,24023.01171875,151768.0,87.0,119940995.0,38004.1171875,24494.275390625,161775.0,61.0,0.0,0.0,0.0,0.0,72772.0,63152.0,30.326059341430664,26.316484451293945,0.0,1460.0,109.3125,157.5,24810.529296875,0.0,2.0,0.0,4425.0,6794.0,0.0,0.0,0.0,0.0,109.3125,69.875,154.75,0.0,0.0,0.0,0.0,4427.0,6193.0,0.0,37.0,0.0,71.0,14600.0,5292.0,2775.0,20.0,0,0,0,0,1437770000000000.0,32982542.0,1437770000000000.0,1437770000000000.0,Non-Tor,Audio-Streaming,Standard,4,177772555,2915189119
